repo_id,repository,domain,cohort,commit_sha,target_files,target_manifest_sha256,bandit_findings,bandit_errors,semgrep_findings,semgrep_errors,original_repository,repair_action,repair_reason,remote_verified,candidate_target_files,bandit_parse_incompatibilities,semgrep_parse_incompatibilities,cross_scanner_incompatible_files,effective_cross_scanner_files,bandit_runtime_or_unmapped_errors,semgrep_runtime_or_unmapped_errors,coverage_complete
R001,tiangolo/fastapi,Web Frameworks & APIs,Primary_Core_Benchmark,50113da16fec53b66b80d75e80a89296de4fa5a5,533,ae436bc64d95925b7cce5dcf4e5781e43f8c32106b57d89aa601d11e041d469a,33,0,33,0,tiangolo/fastapi,unchanged,,,533,0,0,0,533,0,0,True
R002,pallets/flask,Web Frameworks & APIs,Primary_Core_Benchmark,d318b683471101618febed18996405ad26462110,24,f91586241072b9e836d29d195cfd7e6ecd6252a8a50a0135288880d6e52150d1,3,0,3,0,pallets/flask,unchanged,,,24,0,0,0,24,0,0,True
R003,django/django,Web Frameworks & APIs,Primary_Core_Benchmark,9193cb54550727a02fd55dab1b430597a9aa4297,909,ee150c4696db3e11f86beae4f0cd98e3f860159f30a051b0fd830e46b0e1cf3b,67,0,85,0,django/django,unchanged,,,909,0,0,0,909,0,0,True
R004,tornadoweb/tornado,Web Frameworks & APIs,Primary_Core_Benchmark,0096f2897c98facdcd9716009ee934a7381af5ef,53,6e503ff8e637eff75ea28a88d30d89514ef90e80208d46da0b0f1f5e6be5af4c,9,0,9,0,tornadoweb/tornado,unchanged,,,53,0,0,0,53,0,0,True
R005,encode/starlette,Web Frameworks & APIs,Primary_Core_Benchmark,41db6a707f2636526847dbda0e5610e732e6b4fc,36,7593915e78f1c724ff57de1e20ad2100461137b4b90fcc49ff8837efae027083,0,0,0,0,encode/starlette,unchanged,,,36,0,0,0,36,0,0,True
R006,aio-libs/aiohttp,Web Frameworks & APIs,Primary_Core_Benchmark,a5fba5b4d3ce962db5f4c40865fdb270170d7840,64,e742eee7ed1922b20f64f93a073e3f47360020b7502c6a0a4d4d8769015c5516,5,0,5,0,aio-libs/aiohttp,unchanged,,,64,0,0,0,64,0,0,True
R007,bottlepy/bottle,Web Frameworks & APIs,Primary_Core_Benchmark,457a8fa82f2c96d18c6f5934288387ad83ac12fa,1,02cad8510633ab45cb76d67a202152b2ccb3f4a1bbbf1c27f7838253a8399a8c,6,0,6,0,bottlepy/bottle,unchanged,,,1,0,0,0,1,0,0,True
R008,cherrypy/cherrypy,Web Frameworks & APIs,Primary_Core_Benchmark,1f75bc9eed8e0e385f64f368bd69f58d96fb8c2b,58,3251be7a7f39beaef50ded4f0ac1c22d4312050ef94e7438d31eb98477b8ab08,6,0,7,0,cherrypy/cherrypy,unchanged,,,58,0,0,0,58,0,0,True
R009,psf/requests,"HTTP, Networking & Cloud",Primary_Core_Benchmark,dae7ef63b4df6eded86637f251fc4e3a06c3b479,20,17bd0078038ef437d49e6820aa059a3d44c4e4fe1effca696a606d5d1106c0f9,0,0,0,0,psf/requests,unchanged,,,20,0,0,0,20,0,0,True
R010,urllib3/urllib3,"HTTP, Networking & Cloud",Primary_Core_Benchmark,278d98d7bf6cbafbccc924e7aa73dbbe06474dc2,42,36c18ffd43f3be386accd70ca3c88a99b40e66e731324608a901816fa4fecb6e,0,0,0,0,urllib3/urllib3,unchanged,,,42,0,0,0,42,0,0,True
R011,paramiko/paramiko,"HTTP, Networking & Cloud",Primary_Core_Benchmark,142f593e40ad767c5e3556cbace66dc84589620c,45,5403436eb1dea1d876d3aed69d0944ad237742fcd2454905de2f30cebf23ecb6,5,0,5,0,paramiko/paramiko,unchanged,,,45,0,0,0,45,0,0,True
R012,boto/boto3,"HTTP, Networking & Cloud",Primary_Core_Benchmark,dbcacf0c46b79a0f3f7204367ec423722fd3ce16,27,b3f0646f0ef1ed9a8a77d56bf7438adf554450e63b0a435f8beaf20397538016,0,0,14,0,boto/boto3,unchanged,,,27,0,0,0,27,0,0,True
R013,ansible/ansible,"HTTP, Networking & Cloud",Primary_Core_Benchmark,3827d66bfbdc568f58cce57b113131598c46cd5a,595,f38470ecab0486c20c7fcad6ede57bbeeed567d60d3410a2ab8f8249eca11d4e,70,1,82,1,ansible/ansible,environment_fix,Repository exists. Previous checkout failed only because Windows long paths were disabled.,1.0,595,1,1,2,593,0,0,True
R014,fabric/fabric,"HTTP, Networking & Cloud",Primary_Core_Benchmark,ded51893f02c33d2bc7c157624c44a039a952037,23,5fd7c0368c61dd8491fcc95c2c65950745d8b7c4bfc3da483803a29955aaaeb0,1,0,2,0,fabric/fabric,unchanged,,,23,0,0,0,23,0,0,True
R015,encode/httpx,"HTTP, Networking & Cloud",Primary_Core_Benchmark,b5addb64f0161ff6bfe94c124ef76f6a1fba5254,23,e03f7bee3abe96953d106f83a4c03ef55b1c92233165f6bef421c5c72d6b8203,1,0,1,0,encode/httpx,unchanged,,,23,0,0,0,23,0,0,True
R016,certbot/certbot,"HTTP, Networking & Cloud",Primary_Core_Benchmark,56ee04928d677d82c6a375a7c7b48e8ce13bb6bc,226,4255c0188ffac51f9d83b83ad64c1fd15368a497fb501ef3cd3b500fdc8f1f1e,57,0,57,0,certbot/certbot,unchanged,,,226,0,0,0,226,0,0,True
